total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
10000, 35802, 10005, 35802, 380000, 68, 54679, 35902
10000, 35802, 10005, 35802, 380000, 69, 55483, 35902
10000, 35802, 10005, 35802, 380000, 70, 56287, 35902
10000, 35802, 10005, 35802, 380000, 71, 57091, 35902
10000, 35802, 10005, 35802, 380000, 72, 57895, 35902
10000, 35802, 10005, 35802, 380000, 73, 58699, 35902
10000, 35802, 10005, 35802, 380000, 74, 59503, 35902
10000, 35802, 10005, 35802, 380000, 75, 60307, 35902
10000, 35802, 10005, 35802, 380000, 76, 61111, 35902
10000, 35802, 10005, 35802, 380000, 77, 61915, 35902
10000, 35802, 10005, 35802, 380000, 78, 62719, 35902
10000, 35802, 10005, 35802, 380000, 79, 63523, 35902
10000, 35802, 10005, 35802, 380000, 80, 64327, 35902
10000, 35802, 10005, 35802, 380000, 81, 65131, 35902
10000, 35802, 10005, 35802, 380000, 82, 65935, 35902
10000, 35802, 10005, 35802, 380000, 83, 66739, 35902
10000, 35802, 10005, 35802, 380000, 84, 67543, 35902
10000, 35802, 10005, 35802, 380000, 85, 68347, 35902
10000, 35802, 10005, 35802, 380000, 86, 69151, 35902
10000, 35802, 10005, 35802, 380000, 87, 69955, 35902
10000, 35802, 10005, 35802, 380000, 88, 70759, 35902
10000, 35802, 10005, 35802, 380000, 89, 71563, 35902
10000, 35802, 10005, 35802, 380000, 90, 72367, 35902
10000, 35802, 10005, 35802, 380000, 91, 73171, 35902
10000, 35802, 10005, 35802, 380000, 92, 73975, 35902
10000, 35802, 10005, 35802, 380000, 93, 74779, 35902
10000, 35802, 10005, 35802, 380000, 94, 75583, 35902
10000, 35802, 10005, 35802, 380000, 95, 76387, 35902
10000, 35802, 10005, 35802, 380000, 96, 77191, 35902
10000, 35802, 10005, 35802, 380000, 97, 77995, 35902
10000, 35802, 10005, 35802, 380000, 98, 78799, 35902
10000, 35802, 10005, 35802, 380000, 99, 79603, 35902
22500, 80509, 22505, 80509, 855000, 1, 1211, 90191
22500, 80509, 22505, 80509, 855000, 2, 2415, 84323
22500, 80509, 22505, 80509, 855000, 3, 3619, 81502
22500, 80509, 22505, 80509, 855000, 4, 4823, 81866
22500, 80509, 22505, 80509, 855000, 5, 6027, 82787
22500, 80509, 22505, 80509, 855000, 6, 7231, 82100
22500, 80509, 22505, 80509, 855000, 7, 8435, 80238
22500, 80509, 22505, 80509, 855000, 8, 9639, 80560
22500, 80509, 22505, 80509, 855000, 9, 10843, 80474
22500, 80509, 22505, 80509, 855000, 10, 12047, 81327
22500, 80509, 22505, 80509, 855000, 11, 13251, 81828
22500, 80509, 22505, 80509, 855000, 12, 14455, 81434
22500, 80509, 22505, 80509, 855000, 13, 15659, 80537
22500, 80509, 22505, 80509, 855000, 14, 16863, 80978
22500, 80509, 22505, 80509, 855000, 15, 18067, 81164
22500, 80509, 22505, 80509, 855000, 16, 19271, 80960
22500, 80509, 22505, 80509, 855000, 17, 20475, 80662
22500, 80509, 22505, 80509, 855000, 18, 21679, 80659
22500, 80509, 22505, 80509, 855000, 19, 22883, 80659
22500, 80509, 22505, 80509, 855000, 20, 24087, 80659
22500, 80509, 22505, 80509, 855000, 21, 25291, 80659
22500, 80509, 22505, 80509, 855000, 22, 26495, 80659
22500, 80509, 22505, 80509, 855000, 23, 27699, 80659
22500, 80509, 22505, 80509, 855000, 24, 28903, 80659
22500, 80509, 22505, 80509, 855000, 25, 30107, 80659
22500, 80509, 22505, 80509, 855000, 26, 31311, 80659
